CED_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
CED502,9,7,7,15,0,4,0,364,0,0,8,0,0,160,177,77,7,14,18,0,0,0,17,468,0,13,80,85,126,38,108,112,11,9,9,9,0,0,9,615,27,208,202,57,13,10,29,42,8,3,0,0,0,0,13,612,0,6,3,0,9,35,74,31,3,9,0,7,3,0,6,190,0,0,0,0,9,54,323,154,26,19,6,28,9,0,10,638,0,0,9,30,53,32,23,24,8,4,0,5,0,5,13,205,0,11,60,202,716,314,1251,712,128,94,89,96,37,6,69,3783,0,0,0,0,0,5,169,81,9,14,16,31,7,5,4,345,35,368,94,54,87,28,53,22,9,0,0,0,0,0,16,767,6,18,120,366,855,802,1518,1138,94,66,106,131,28,38,162,5446,0,0,4,4,3,0,0,4,0,0,0,0,0,0,0,20,0,0,5,12,29,64,382,616,96,96,106,141,70,15,22,1659
CED503,0,0,0,5,0,8,0,100,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,16,8,12,58,69,121,53,175,197,7,5,0,0,5,0,11,723,47,204,127,32,18,4,22,17,3,0,0,0,6,0,25,498,0,0,0,0,8,25,31,11,0,0,0,3,0,4,5,92,0,0,0,0,6,7,29,31,0,0,0,4,3,0,3,97,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,7,3,13,42,57,65,37,105,59,9,6,20,14,0,0,8,432,0,0,0,0,0,0,18,14,4,6,4,8,4,0,0,52,34,377,67,66,94,32,66,37,0,6,4,6,3,6,18,815,7,16,196,612,959,782,1334,993,52,47,60,94,51,49,183,5432,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,4,6,0,20,52,9,4,4,10,9,0,0,118
CED504,47,37,27,35,16,11,10,981,0,0,0,5,9,333,416,251,68,49,35,50,19,3,34,1273,6,10,80,94,162,49,296,527,30,42,43,63,18,0,12,1433,97,1027,997,266,92,79,103,234,35,28,19,13,7,0,133,3121,0,3,0,9,32,63,126,41,7,8,9,6,0,0,7,316,0,0,0,5,26,19,134,72,8,6,9,19,0,0,7,305,0,0,13,28,45,19,39,12,3,0,0,0,3,4,5,175,5,21,95,227,782,261,486,278,93,99,116,97,37,5,72,2670,0,0,0,0,0,0,89,67,20,15,31,32,10,0,12,268,29,178,39,25,33,19,29,24,4,9,5,0,4,0,10,407,0,7,116,359,755,602,890,713,33,31,70,49,39,25,109,3797,21,72,324,418,368,277,165,77,20,13,13,23,6,4,53,1854,0,4,6,19,24,58,159,290,73,78,66,128,60,7,16,978
CED505,15,5,36,39,5,0,10,663,0,0,5,0,0,21,30,19,5,0,3,0,0,0,0,78,19,77,81,101,307,130,320,429,18,34,44,121,117,58,33,1897,82,319,142,71,48,49,130,235,26,23,18,35,24,3,39,1249,0,5,3,18,47,128,190,113,39,49,64,76,40,14,31,822,0,0,0,10,33,31,102,83,7,25,7,14,4,0,10,330,0,4,8,12,12,0,3,0,0,0,0,5,0,0,0,53,22,37,158,377,596,295,422,278,62,68,67,60,68,16,33,2575,0,0,0,0,8,6,29,25,30,39,45,44,9,0,0,234,19,174,27,47,48,58,140,67,13,20,7,31,13,6,15,680,12,38,207,454,624,429,619,428,31,34,53,65,31,46,75,3161,0,7,12,21,32,11,0,6,0,0,0,0,0,0,5,93,0,0,3,7,4,18,45,41,20,25,8,12,7,0,5,204
CED506,0,0,4,5,4,0,30,75,0,0,0,0,0,9,3,9,6,0,0,0,0,0,15,37,8,15,36,51,68,44,159,209,10,5,13,31,9,0,17,662,28,86,86,21,9,4,23,63,8,6,11,27,8,0,18,411,0,0,0,4,3,13,33,14,0,0,14,13,6,3,3,110,0,0,0,8,7,6,27,11,0,3,0,16,0,0,3,87,0,0,0,0,3,5,0,3,0,0,4,7,0,0,8,29,0,11,34,43,53,27,89,40,9,34,41,17,3,0,19,422,0,0,0,0,0,0,22,22,16,12,21,9,3,0,0,113,18,184,50,46,24,28,68,20,12,5,11,7,11,0,20,500,7,13,185,682,1024,828,1432,969,96,94,90,117,47,59,281,5912,0,5,10,7,13,7,6,4,0,0,0,0,0,0,0,58,0,0,0,4,4,10,40,59,0,6,10,8,3,3,9,160
CED507,3,0,0,0,0,0,3,47,0,0,0,0,8,10,11,10,4,0,0,0,0,0,0,46,7,14,48,85,126,44,132,148,3,7,5,11,3,0,10,640,47,265,119,17,5,10,40,73,12,10,15,12,7,0,44,681,0,0,4,0,0,26,45,43,0,5,5,7,4,3,0,153,0,0,0,0,6,3,67,60,13,3,16,23,8,0,8,211,0,0,4,10,8,8,11,4,0,0,0,0,3,0,0,50,4,10,34,32,40,30,41,43,13,21,20,13,0,0,8,313,0,0,0,0,0,0,21,17,15,12,9,0,0,0,0,80,25,232,63,34,66,40,62,37,3,3,4,6,3,0,12,606,13,18,182,543,849,615,1059,572,35,73,35,48,31,23,186,4272,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,24,52,6,7,11,3,5,10,0,123
CED508,19,21,19,14,5,3,4,454,0,0,0,0,0,7,28,17,0,4,0,0,0,0,0,65,0,15,71,75,159,106,269,357,17,16,26,30,35,14,20,1204,114,877,742,139,92,63,135,226,43,17,22,26,13,0,88,2603,0,0,3,5,34,63,123,49,11,10,10,14,3,0,3,336,0,0,3,6,20,26,197,130,11,16,10,15,3,0,14,457,0,0,3,21,12,13,11,7,0,0,0,0,0,0,4,77,0,11,61,115,305,197,473,289,66,57,46,46,37,7,27,1737,0,0,0,0,0,0,71,52,10,16,14,16,4,0,0,179,19,170,49,34,54,29,74,47,7,0,15,16,4,3,13,520,4,17,101,396,792,634,1036,796,84,56,61,88,31,28,119,4239,0,4,0,13,12,8,4,0,0,0,0,0,0,0,4,41,0,0,6,4,4,15,57,89,15,19,18,27,5,9,5,260
CED509,5,6,6,4,5,7,4,204,0,0,0,0,3,123,104,62,3,11,11,4,0,4,12,330,3,10,92,75,200,81,209,244,20,0,8,6,0,0,17,972,65,425,273,62,26,18,33,36,12,6,0,7,3,4,48,1010,0,0,0,0,19,37,83,21,0,7,0,0,0,0,4,174,0,0,0,0,9,6,50,26,11,6,0,3,0,0,4,120,0,0,5,11,23,15,8,3,0,0,0,0,0,0,8,65,9,16,60,63,171,111,208,88,16,8,15,14,3,0,29,798,0,0,0,0,0,0,93,46,3,3,7,17,4,0,0,179,29,225,66,57,72,36,85,30,0,0,0,4,0,0,27,621,9,20,159,521,1030,838,1571,1260,83,111,69,93,47,38,205,6060,3,0,12,13,21,26,24,14,0,0,0,0,0,0,0,121,0,4,5,3,15,18,91,101,5,16,13,21,3,3,10,310
CED510,24,15,13,18,3,0,4,471,0,0,0,0,0,17,17,14,0,9,0,0,0,0,0,54,0,21,74,123,563,208,682,726,22,27,26,25,5,7,23,2540,45,245,176,81,33,29,72,89,12,3,5,20,16,0,29,857,0,0,0,9,39,67,88,36,6,3,9,10,6,0,0,271,0,0,0,3,28,8,62,30,5,3,5,9,0,0,0,157,0,0,5,7,15,6,6,5,0,0,0,0,0,0,3,53,4,26,83,144,289,114,204,86,19,12,24,34,8,5,16,1055,0,0,0,0,0,0,11,4,8,7,5,8,6,0,0,47,12,225,68,51,89,49,80,41,9,11,3,6,9,0,6,651,7,12,124,533,1035,674,810,571,45,45,27,59,22,16,86,4060,0,11,28,34,20,26,9,5,0,0,0,0,0,0,3,152,0,3,4,5,13,9,22,24,8,10,15,7,10,0,3,124
CED511,5,9,3,0,0,0,4,81,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,19,3,11,52,33,47,21,88,103,3,12,12,15,5,0,15,408,21,180,109,21,3,9,12,36,6,4,5,13,0,0,39,451,0,0,0,8,6,18,20,6,0,0,0,3,0,0,3,70,0,0,0,0,10,5,17,30,7,3,5,5,0,0,0,82,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8,27,33,41,18,53,28,7,9,11,7,0,0,25,271,0,0,0,0,0,0,10,12,5,0,4,4,7,0,0,42,20,303,76,34,74,27,42,24,3,0,0,7,4,0,23,633,9,20,201,583,1019,878,1391,837,91,97,105,135,33,53,280,5729,3,11,6,0,5,5,6,0,0,0,0,0,0,0,0,41,0,0,5,0,0,0,13,48,10,9,5,10,6,4,5,115
CED512,12,10,9,12,0,3,0,383,0,0,0,0,3,96,104,56,11,8,16,0,0,3,5,290,0,11,53,79,268,110,593,641,14,10,29,23,6,0,16,1862,30,146,173,46,33,21,56,100,6,5,0,3,0,0,26,650,0,0,0,4,5,31,59,33,0,9,3,0,3,0,3,150,0,0,0,0,15,23,77,34,4,5,0,8,3,5,4,173,0,0,5,9,20,0,17,11,3,0,0,0,0,0,0,77,0,7,37,56,198,96,298,147,38,32,64,40,38,0,21,1085,0,0,0,0,0,0,44,19,4,0,10,17,4,0,4,102,9,171,42,21,45,31,62,29,3,5,3,3,0,0,12,441,4,3,80,418,994,1041,1887,1418,106,109,82,126,69,46,149,6536,0,7,38,57,114,107,102,35,10,6,4,9,0,0,9,501,0,0,0,6,17,40,88,64,7,16,6,6,14,0,4,271
CED513,37,36,39,57,18,11,8,793,0,0,7,0,4,50,81,53,11,6,14,3,7,0,9,232,6,18,96,96,296,97,429,617,48,46,76,109,50,9,27,2033,141,1063,760,189,61,45,136,329,64,33,58,69,35,3,84,3057,0,0,3,10,43,117,240,139,29,40,65,112,60,60,28,946,0,0,0,14,63,48,317,239,53,57,62,79,17,4,8,964,0,0,4,11,20,10,17,6,0,0,4,4,0,0,0,80,5,20,123,240,523,250,570,353,104,119,119,92,62,12,72,2665,0,0,0,0,0,8,111,161,64,100,145,143,69,8,19,827,29,172,47,37,37,40,53,30,7,7,15,20,9,0,7,514,3,15,158,424,767,588,809,569,43,57,77,78,47,28,91,3770,12,46,97,86,68,52,39,3,5,3,0,0,0,0,9,422,0,5,12,8,15,16,107,181,49,49,58,92,49,4,17,659
CED514,34,22,41,59,18,11,10,733,0,4,0,0,6,51,99,109,3,5,21,8,3,0,6,319,4,20,93,96,202,65,255,394,30,11,19,37,21,17,20,1294,71,491,358,80,34,35,73,162,17,22,16,17,11,0,44,1442,0,3,0,7,31,85,171,83,19,20,48,33,12,3,20,532,0,0,0,31,59,81,375,274,56,51,55,64,10,4,32,1100,0,0,10,39,23,16,37,20,6,4,0,6,4,0,0,180,6,22,83,256,746,420,1088,695,200,219,232,212,106,11,89,4383,0,0,0,0,6,15,253,310,152,168,301,292,104,0,27,1632,20,230,43,32,46,36,46,24,0,9,17,6,5,0,20,534,4,12,156,471,895,696,1188,972,98,70,101,78,44,51,120,4974,0,5,5,7,8,8,8,6,0,0,4,0,0,3,3,48,0,0,11,11,22,28,236,451,114,133,146,208,142,11,22,1541
CED515,23,27,25,34,13,4,9,957,0,0,4,4,6,86,103,110,13,13,13,10,0,0,4,355,9,21,84,87,223,84,183,199,14,3,6,9,0,0,15,931,62,407,279,43,27,29,49,89,10,13,10,13,8,5,53,1103,0,3,4,18,44,98,135,40,5,5,0,11,8,0,7,398,0,0,0,31,81,150,630,367,44,56,39,40,15,4,40,1492,0,0,19,23,33,29,16,3,0,0,5,0,0,0,5,144,5,28,210,618,2427,1063,2467,1362,277,253,227,223,155,17,129,9459,0,0,0,0,0,6,78,54,8,17,19,28,9,5,0,220,26,248,55,27,46,22,52,22,0,0,6,0,0,0,16,529,4,32,173,348,760,422,668,539,38,39,41,38,26,20,120,3273,0,0,8,5,3,3,3,0,0,0,0,0,0,0,0,30,5,4,4,17,24,67,185,255,40,66,83,78,52,0,11,893
CED594,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,4,0,0,0,0,9,0,0,3,31,0,5,0,0,3,0,0,6,0,0,3,11,3,0,8,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,21,0,0,7,24,39,25,42,34,5,5,6,0,4,9,51,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,8,7,3,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,49,32,4,24,6,0,0,238,0,0,0,0,0,3,0,5,0,3,0,0,0,0,0,11,5,6,17,38,24,8,20,11,3,0,3,6,0,0,9,138,0,88,40,9,0,3,4,5,3,3,3,4,4,0,11,175,0,3,0,5,7,11,17,4,3,0,0,3,3,0,0,56,0,0,4,5,11,16,35,33,0,5,8,7,3,0,3,136,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,15,0,6,20,19,21,14,65,74,39,37,26,26,12,0,4,364,0,0,0,0,0,0,141,439,241,284,191,107,15,4,24,1446,37,248,63,39,44,18,22,0,0,3,0,0,0,0,19,498,4,19,81,186,232,171,186,72,8,8,7,8,5,6,45,1017,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,26,154,28,30,50,57,18,4,10,378
CED602,0,4,0,3,3,0,0,23,0,0,0,0,0,0,3,13,0,7,3,4,0,0,0,33,3,12,25,19,17,4,8,16,0,0,0,0,0,0,3,99,5,23,23,5,3,0,3,0,0,0,0,10,0,0,8,88,0,0,0,0,0,5,7,7,4,0,9,8,3,0,0,37,0,0,0,0,11,0,12,14,3,0,4,6,4,0,5,56,0,0,3,5,0,0,0,0,6,0,0,3,0,0,0,15,0,6,18,7,12,4,27,20,5,3,5,8,0,0,0,121,0,0,0,0,0,0,13,80,56,103,82,33,3,0,4,370,32,235,81,31,31,18,26,11,3,0,3,0,0,0,14,475,13,14,98,197,273,269,175,66,16,13,7,14,18,9,49,1219,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,7,99,18,23,10,23,18,3,0,202
CED603,24,23,12,18,6,0,0,193,0,0,0,0,0,9,3,17,9,5,0,0,0,0,0,42,0,9,19,31,52,19,39,12,5,3,5,9,0,0,7,206,15,139,87,18,5,9,15,25,9,0,8,5,0,0,15,354,0,0,0,7,11,27,58,40,7,4,3,13,4,0,9,193,0,0,0,11,32,24,70,49,20,20,20,28,3,0,13,281,0,0,6,18,6,3,3,3,3,3,0,4,0,0,0,54,0,13,26,35,40,41,91,117,61,52,42,33,20,0,6,566,0,0,0,0,0,9,286,1103,487,547,397,215,34,4,60,3153,17,117,28,25,33,22,11,9,0,0,0,3,6,0,7,282,5,16,81,167,197,155,151,58,16,8,9,15,14,17,22,937,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,46,297,40,30,63,67,20,0,14,591
CED604,10,15,0,5,9,0,0,80,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,18,6,11,25,29,33,19,19,19,0,0,0,5,0,0,3,170,4,54,32,8,4,6,16,18,3,0,0,6,0,0,4,156,0,4,0,3,9,27,43,17,5,8,0,6,0,0,0,126,0,0,0,0,28,26,67,52,22,21,9,7,5,0,5,243,0,0,0,4,3,0,0,7,3,0,0,0,0,0,0,15,0,11,14,20,32,20,66,72,11,10,6,11,0,0,6,293,0,0,0,0,0,9,95,358,155,135,93,69,21,0,18,944,30,235,55,46,39,25,31,8,8,0,4,3,0,0,11,506,4,15,91,234,254,149,197,95,14,14,10,14,8,7,40,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,13,86,21,12,27,22,8,0,4,198
CED605,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,16,0,9,27,21,22,10,18,15,3,0,0,0,0,0,10,124,8,43,20,5,9,7,7,3,0,3,0,0,0,0,10,109,0,3,0,3,4,9,17,13,0,0,0,3,0,0,0,46,0,0,0,4,15,5,17,6,0,0,0,6,0,0,5,54,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,9,14,15,9,7,14,17,7,5,3,5,5,0,0,109,0,0,0,0,0,0,27,91,41,65,37,22,4,0,7,300,17,160,49,37,32,17,29,11,0,0,3,0,0,0,19,373,9,4,91,255,294,166,141,54,14,8,14,8,12,0,69,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,57,5,4,3,18,0,0,0,106
CED694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,9,3,3,3,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,0,0,0,0,0,0,14,43,0,0,0,0,0,7,13,3,0,0,0,0,0,0,12,34,0,7,24,25,20,14,67,31,3,4,5,5,4,0,8,225,5,23,35,13,0,9,14,19,0,4,7,15,3,0,9,160,0,0,0,0,0,13,23,3,4,0,0,12,3,0,0,60,0,0,0,0,5,5,41,31,10,9,10,10,0,0,7,117,0,0,0,4,4,0,0,0,0,0,0,0,0,0,9,18,0,7,30,113,141,41,54,36,17,12,13,5,6,0,31,511,0,0,0,0,0,0,98,135,94,80,59,43,8,0,11,527,3,41,32,12,17,5,14,5,0,4,9,0,4,0,11,166,0,13,72,291,304,289,365,370,44,24,62,63,25,27,107,2063,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,27,55,7,4,5,14,0,0,8,122
CED702,3,0,7,11,0,0,4,79,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,3,21,15,25,17,112,194,23,12,19,44,18,0,9,527,3,44,69,37,3,14,30,68,10,16,15,14,3,0,12,332,0,0,3,7,13,18,32,53,3,10,0,10,0,5,4,156,0,0,0,3,13,21,93,63,19,16,9,5,0,3,8,256,0,0,0,0,0,5,15,13,0,0,0,0,0,0,0,36,3,9,37,82,128,40,85,74,31,35,15,28,6,0,3,581,0,0,0,0,3,8,278,611,395,448,357,257,71,0,37,2461,5,46,20,17,18,10,21,11,7,6,0,4,0,0,0,176,3,12,102,328,384,269,316,257,33,39,38,35,13,16,73,1933,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,17,11,84,206,42,58,58,67,22,0,5,570
CED794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,13,0,0,0,11,18,9,15,14,0,0,0,3,0,3,4,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED801,3,17,10,4,8,0,3,307,0,0,0,4,7,39,115,69,56,15,21,13,0,0,7,351,3,24,33,38,66,38,41,75,5,0,0,4,0,0,4,330,19,185,217,65,21,15,26,35,3,0,0,0,3,0,25,615,0,0,4,12,15,35,77,32,10,3,0,0,7,0,0,201,0,0,0,8,54,49,153,93,18,8,12,7,4,5,15,434,0,0,17,34,81,24,48,19,0,0,9,0,0,0,8,249,0,19,97,128,207,70,95,105,21,18,20,11,15,11,26,842,0,0,0,0,0,3,181,426,225,356,321,132,36,0,24,1707,11,168,56,32,29,11,23,16,0,0,0,0,0,0,9,351,16,34,179,323,370,302,266,190,26,27,23,24,20,14,113,1930,0,3,13,24,38,21,23,11,0,0,3,0,0,0,0,143,0,0,4,7,10,62,180,163,34,28,29,8,9,8,15,558
